Species,Colony_ID,Time_Disc,Discovered,Col_Size,Time_Disc_Comp,Discovered_Comp,Col_Size_Comp
P_flavicornis,A,7,1,54,1,1,53
P_laevigata,B,4,1,126,1,1,126
P_flavicornis,C,1,1,23,1,1,21
P_laevigata,D,27,1,145,8,1,145
P_flavicornis,E,9,1,48,6,1,47
P_laevigata,F,2,1,24,2,1,24
P_flavicornis,G,5,1,19,4,1,19
P_laevigata,H,11,1,83,2,1,83
P_flavicornis,I,60,0,34,60,0,34
P_laevigata,J,5,1,37,2,1,37
P_flavicornis,K,60,0,37,60,0,37
P_laevigata,L,4,1,41,1,1,39
P_flavicornis,M,10,1,43,60,0,42
P_laevigata,N,4,1,30,1,1,30
P_flavicornis,O,60,0,62,53,1,62
P_laevigata,P,2,1,21,2,1,21
P_flavicornis,Q,15,1,121,23,1,121
P_laevigata,R,3,1,26,5,1,26
P_flavicornis,S,60,0,66,15,1,64
P_laevigata,T,3,1,45,2,1,74
P_flavicornis,U,60,0,35,60,0,35
P_laevigata,V,60,0,42,2,1,40
P_flavicornis,W,6,1,67,16,1,67
P_laevigata,X,1,1,46,1,1,46
P_flavicornis,Y,5,1,167,8,1,151
P_laevigata,Z,1,1,141,2,1,132
P_flavicornis,AA,26,1,59,3,1,58
P_laevigata,BB,4,1,74,1,1,73
P_flavicornis,CC,60,0,12,60,0,12
P_laevigata,DD,49,1,196,1,1,196
P_flavicornis,EE,30,1,11,60,0,11
P_laevigata,FF,1,1,7,2,1,7
P_flavicornis,GG,1,1,181,2,1,161
P_laevigata,HH,6,1,131,1,1,130
P_flavicornis,II,60,0,34,60,0,34
P_laevigata,JJ,16,1,82,2,1,82
P_flavicornis,KK,15,1,30,17,1,41
P_laevigata,LL,1,1,48,1,1,48
P_flavicornis,MM,60,0,40,60,0,46
P_laevigata,NN,4,1,100,1,1,141
P_flavicornis,OO,60,0,44,60,0,43
P_laevigata,PP,4,1,144,2,1,143
P_flavicornis,QQ,9,1,63,22,1,63
P_laevigata,RR,1,1,96,1,1,96
P_flavicornis,SS,60,0,36,60,0,36
P_laevigata,TT,2,1,65,1,1,65
P_flavicornis,UU,60,0,40,32,1,25
P_laevigata,VV,57,1,79,54,1,78
P_flavicornis,WW,1,1,108,14,1,110
P_laevigata,XX,1,1,110,2,1,108
P_flavicornis,YY,1,1,54,11,1,38
P_laevigata,ZZ,1,1,118,4,1,117
P_flavicornis,AAA,60,0,33,60,0,33
P_laevigata,BBB,4,1,116,1,1,116
P_flavicornis,CCC,60,0,42,60,0,41
P_laevigata,DDD,3,1,199,7,1,198
P_flavicornis,EEE,6,1,37,60,0,34
P_laevigata,FFF,1,1,108,1,1,107
P_flavicornis,GGG,7,1,51,1,1,51
P_laevigata,HHH,1,1,40,7,1,39