Trial,Colony_ID,Time_Disc,Discovered,Col_Size
Discovery,B,4,1,126
Discovery,D,27,1,145
Discovery,F,2,1,24
Discovery,H,11,1,83
Discovery,J,5,1,37
Discovery,L,4,1,41
Discovery,N,4,1,30
Discovery,P,2,1,21
Discovery,R,3,1,26
Discovery,T,3,1,45
Discovery,V,60,0,42
Discovery,X,1,1,46
Discovery,Z,1,1,141
Discovery,BB,4,1,74
Discovery,DD,49,1,196
Discovery,FF,1,1,7
Discovery,HH,6,1,131
Discovery,JJ,16,1,82
Discovery,LL,1,1,48
Discovery,NN,4,1,100
Discovery,PP,4,1,144
Discovery,RR,1,1,96
Discovery,TT,2,1,65
Discovery,VV,57,1,79
Discovery,XX,1,1,110
Discovery,ZZ,1,1,118
Discovery,BBB,4,1,116
Discovery,DDD,3,1,199
Discovery,FFF,1,1,108
Discovery,HHH,1,1,40
Competition,B,1,1,126
Competition,D,8,1,145
Competition,F,2,1,24
Competition,H,2,1,83
Competition,J,2,1,37
Competition,L,1,1,39
Competition,N,1,1,30
Competition,P,2,1,21
Competition,R,5,1,26
Competition,T,2,1,74
Competition,V,2,1,40
Competition,X,1,1,46
Competition,Z,2,1,132
Competition,BB,1,1,73
Competition,DD,1,1,196
Competition,FF,2,1,7
Competition,HH,1,1,130
Competition,JJ,2,1,82
Competition,LL,1,1,48
Competition,NN,1,1,141
Competition,PP,2,1,143
Competition,RR,1,1,96
Competition,TT,1,1,65
Competition,VV,54,1,78
Competition,XX,2,1,108
Competition,ZZ,4,1,117
Competition,BBB,1,1,116
Competition,DDD,7,1,198
Competition,FFF,1,1,107
Competition,HHH,7,1,39